source,table,series,period,value
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ОФ,1985,5.94
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",KB,1985,3.79
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Ввод ОФ,1985,4.19
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Доля KB п ВВП (ц.90г.),1985,0.314
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Фондоотд. (ц.90г.),1985,0.403
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ВВП,1986,3.9
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ОФ,1986,6.26
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",KB,1986,4.14
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Ввод ОФ,1986,4.46
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Доля KB п ВВП (ц.90г.),1986,0.335
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Фондоотд. (ц.90г.),1986,0.392
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ВВП,1987,3.92
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ОФ,1987,6.56
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",KB,1987,4.39
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Ввод ОФ,1987,4.82
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Доля KB п ВВП (ц.90г.),1987,0.353
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Фондоотд. (ц.90г.),1987,0.376
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ВВП,1988,4.1
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ОФ,1988,6.91
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",KB,1988,4.72
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Ввод ОФ,1988,4.78
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Доля KB п ВВП (ц.90г.),1988,0.363
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Фондоотд. (ц.90г.),1988,0.374
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ВВП,1989,4.18
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ОФ,1989,7.24
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",KB,1989,4.92
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Ввод ОФ,1989,4.91
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Доля KB п ВВП (ц.90г.),1989,0.371
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Фондоотд. (ц.90г.),1989,0.363
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ВВП,1990,4.01
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ОФ,1990,7.55
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",KB,1990,4.92
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Ввод ОФ,1990,4.77
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Доля KB п ВВП (ц.90г.),1990,0.387
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Фондоотд. (ц.90г.),1990,0.334
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Квыб ОФ,1990,0.19
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Kпрвt,1990,0.843
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ВВП,1991,3.81
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ОФ,1991,7.8
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",KB,1991,4.16
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Ввод ОФ,1991,3.6
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Доля KB п ВВП (ц.90г.),1991,0.344
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Фондоотд. (ц.90г.),1991,0.307
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Квыб ОФ,1991,0.016
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Kпрвt,1991,0.756
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ВВП,1992,3.26
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ОФ,1992,7.95
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",KB,1992,2.51
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Ввод ОФ,1992,1.72
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Доля KB п ВВП (ц.90г.),1992,0.243
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Фондоотд. (ц.90г.),1992,0.258
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Квыб ОФ,1992,0.011
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Kпрвt,1992,0.591
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ВВП,1993,2.98
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ОФ,1993,8.02
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",KB,1993,2.21
